date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:49	939/939	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:15:47%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove3%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.003_1024x1024.png?v=1507945735%26description=SpreadDiwaliLove3	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index6c23.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove3&media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.003_1024x1024.png?v=1507945735&description=SpreadDiwaliLove3)
15:15:50	3825/3825	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:b473c2693b3eaca8de194346fcde72df	https://culturedabba.com/blogs/news/tagged/dussehra.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/dussehra.atom	(from https://culturedabba.com/blogs/news/tagged/dussehra)
15:15:52	3820/3820	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:279ffb12dc3c1c856472ebd55f1d06bf	https://culturedabba.com/blogs/news/tagged/ram.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/ram.atom	(from https://culturedabba.com/blogs/news/tagged/ram)
15:15:53	939/939	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:15:52%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove-1%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.002_1024x1024.png?v=1507871849%26description=SpreadDiwaliLove	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/indexa519.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove-1&media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.002_1024x1024.png?v=1507871849&description=SpreadDiwaliLove)
15:15:54	2516/2516	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:c245ae7d22deaac602c97a2160c01d38	https://culturedabba.com/blogs/news/tagged/deepavali.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/deepavali.atom	(from https://culturedabba.com/blogs/news/tagged/deepavali)
15:15:55	106033/106033	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Aug%202019%2020:15:40%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/articles/Untitled_1024x1024.png?v=1490425155	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/untitled_1024x1024f549.png	(from https://culturedabba.com/blogs/news/tagged/culture)
15:15:55	1646/1646	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:ad8c4990ea950697d4caed4327c3ead7	https://culturedabba.com/blogs/news/tagged/kindle.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/kindle.atom	(from https://culturedabba.com/blogs/news/tagged/kindle)
15:15:56	1656/1656	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:44888661b66d6f1ed6d18117208418f4	https://culturedabba.com/blogs/news/tagged/spreaddiwalilove.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/spreaddiwalilove.atom	(from https://culturedabba.com/blogs/news/tagged/spreaddiwalilove)
15:15:56	933/933	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:15:56%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.001_1024x1024.png?v=1507788412%26description=SpreadDiwaliLove	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index0be4.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/spreaddiwalilove&media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-EatPrayLoveThanks-Diwali.001_1024x1024.png?v=1507788412&description=SpreadDiwaliLove)
15:15:57	2104/2104	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:cd27ec968b6c9765cbc909beb7226582	https://culturedabba.com/blogs/news/tagged/braingame.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/braingame.atom	(from https://culturedabba.com/blogs/news/tagged/braingame)
15:15:57	2733/2733	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:cdb81d44ebf87908db5c2db5004fe6a4	https://culturedabba.com/blogs/news/tagged/children-games.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/children-games.atom	(from https://culturedabba.com/blogs/news/tagged/children-games)
15:15:58	2200/2200	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:1a95b67c13bd37dff0a5bec8afd3f89e	https://culturedabba.com/blogs/news/tagged/mind-games.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/mind-games.atom	(from https://culturedabba.com/blogs/news/tagged/mind-games)
15:15:58	273/273	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:15:57%20GMT	https://pinterest.com/robots.txt		(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/products/christmas-edition&media=//cdn.shopify.com/s/files/1/1017/1847/products/RGChristmas.001_1024x1024.png?v=1511733897&description=Christmas%20Edition)
15:15:59	1104/1104	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:15:58%20GMT	https://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/can-you-solve-this-firecracker-puzzle%26media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-Firecracker-Sequence-SocialMedia_1024x1024.gif?v=1507700582%26description=Can%20you%20solve%20this%20firecracker%20puzzle?	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/indexce3d.html	(from http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/can-you-solve-this-firecracker-puzzle&media=//cdn.shopify.com/s/files/1/1017/1847/articles/CultureDabba-Firecracker-Sequence-SocialMedia_1024x1024.gif?v=1507700582&description=Can%20you%20solve%20this%20firecracker%20puzzle?)
